City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,mad,48.2,21.2833,-3.38,68,4,5.73,HU,1675564957
359,ust-nera,64.5667,143.2,-29.82,97,100,1.05,RU,1675564735
360,srostki,52.4189,85.7022,-13.2,96,91,2.04,RU,1675564957
361,acajutla,13.5928,-89.8275,25.75,65,14,3.4,SV,1675564958
362,miquelon,47.0975,-56.3814,-7.0,67,100,21.96,PM,1675564958
363,sete lagoas,-19.4658,-44.2467,24.49,79,99,1.31,BR,1675564687
364,ramapuram,13.1167,79.2,22.55,63,14,1.1,IN,1675564959
365,hovd,48.0056,91.6419,-14.53,82,84,0.63,MN,1675564959
366,avera,33.194,-82.5271,4.73,52,100,2.59,US,1675564960
367,seoul,37.5683,126.9778,3.76,60,20,3.6,KR,1675564613
368,qaqortoq,60.7167,-46.0333,-5.9,69,99,8.53,GL,1675564961
369,sisak,45.4661,16.3783,-1.01,68,3,3.61,HR,1675564961
370,nizwa,22.9333,57.5333,17.9,73,1,0.33,OM,1675564962
371,madiun,-7.6298,111.5239,29.03,66,100,2.23,ID,1675564962
372,mukhen,48.1,136.1,-10.85,80,100,3.35,RU,1675564963
373,kalmar,56.6616,16.3616,-11.04,100,46,0.0,SE,1675564964
374,along,28.1667,94.7667,18.67,37,75,0.24,IN,1675564964
375,durango,24.8333,-104.8333,12.03,34,1,0.75,MX,1675564892
376,marseille,43.3333,5.5,9.36,81,0,2.49,FR,1675564965
377,kumeny,58.1089,49.9161,-18.7,100,99,1.68,RU,1675564965
378,lekoni,-1.5843,14.2591,23.41,77,77,2.09,GA,1675564966
379,rocha,-34.4833,-54.3333,19.32,89,100,6.57,UY,1675564946
380,bubaque,11.2833,-15.8333,24.89,59,31,5.81,GW,1675564967
381,santiago de cuba,20.0247,-75.8219,24.06,83,40,3.09,CU,1675564967
382,pirenopolis,-15.8525,-48.9592,22.27,92,96,0.48,BR,1675564968
383,salvador,13.8333,-88.9167,20.22,68,46,1.83,SV,1675564968
384,arman,59.7,150.1667,-19.44,77,18,2.64,RU,1675564969
385,kuah,6.3265,99.8432,30.56,58,20,5.14,MY,1675564969
386,clyde river,70.4692,-68.5914,-26.87,63,75,9.77,CA,1675564970
387,ostrovnoy,68.0531,39.5131,-14.23,95,95,5.06,RU,1675564965
388,garachine,8.0647,-78.3628,24.35,87,21,4.8,PA,1675564970
389,iquitos,-3.7481,-73.2472,22.02,88,0,0.0,PE,1675564971
390,batemans bay,-35.7167,150.1833,22.83,47,0,4.27,AU,1675564971
391,kozhva,65.1073,57.0459,-14.83,98,95,1.65,RU,1675564972
392,gunnedah,-30.9833,150.25,32.07,12,0,0.67,AU,1675564972
393,marrakesh,31.6315,-8.0083,8.04,57,20,2.06,MA,1675564770
394,ardesen,41.1911,40.9875,6.78,61,100,1.03,TR,1675564973
395,progreso,21.2833,-89.6667,21.73,78,76,6.01,MX,1675564974
396,tshane,-24.0196,21.8684,22.66,69,98,5.38,BW,1675564974
397,comodoro rivadavia,-45.8667,-67.5,28.92,21,0,5.66,AR,1675564946
398,mount gambier,-37.8333,140.7667,18.21,55,100,2.91,AU,1675564714
399,rancho palos verdes,33.7445,-118.387,16.82,72,20,3.6,US,1675564797
400,lahaina,20.8783,-156.6825,26.0,81,90,5.07,US,1675564975
401,winchester,51.0651,-1.3187,8.69,89,100,4.12,GB,1675564976
402,college,64.8569,-147.8028,-16.03,85,75,2.06,US,1675564780
403,marawi,7.9986,124.2928,26.37,57,100,1.16,PH,1675564976
404,bhadrachalam,17.6667,80.8833,22.85,62,4,1.11,IN,1675564947
405,emilio carranza,19.9711,-96.6114,17.89,80,78,1.96,MX,1675564977
406,mandera,3.9366,41.867,23.2,30,44,3.29,KE,1675564978
407,eyl,7.9803,49.8164,21.37,77,100,5.47,SO,1675564978
408,deputatskiy,69.3,139.9,-34.53,99,99,1.3,RU,1675564979
409,tromso,69.6496,18.957,1.32,69,100,6.17,NO,1675564947
410,zhigalovo,54.8097,105.1578,-17.28,98,100,0.53,RU,1675564979
411,ballina,-28.8667,153.5667,30.56,55,22,4.62,AU,1675564980
412,sur,22.5667,59.5289,20.81,67,0,3.08,OM,1675564980
413,ystad,55.4297,13.8204,-2.59,63,97,4.15,SE,1675564981
414,sokolo,14.7328,-6.1219,19.84,15,64,5.22,ML,1675564982
415,dunedin,-45.8742,170.5036,21.0,86,100,4.92,NZ,1675564983
416,kaeo,-35.1,173.7833,21.57,77,88,3.3,NZ,1675564985
417,skelleftea,64.7507,20.9528,-14.8,92,20,1.54,SE,1675564987
418,santa cruz del sur,20.7147,-77.9956,23.78,79,65,6.61,CU,1675564898
419,forbes,-33.3833,148.0167,27.57,25,0,3.3,AU,1675564992
420,mitsamiouli,-11.3847,43.2844,27.08,75,97,1.54,KM,1675564994
421,onega,63.9061,38.1404,-18.24,100,97,1.67,RU,1675564995
422,anqing,30.5092,117.0506,9.96,67,100,0.24,CN,1675564996
423,uherske hradiste,49.0698,17.4597,-1.47,80,16,4.12,CZ,1675564997
424,nikologory,56.1413,41.9922,-5.85,98,100,0.82,RU,1675564998
425,dondo,-19.6094,34.7431,23.73,96,25,1.63,MZ,1675564999
426,kapitanivka,48.9172,31.7167,-5.97,85,96,5.3,UA,1675565000
427,coquimbo,-29.9533,-71.3436,18.85,77,0,3.09,CL,1675564759
428,kaspiyskiy,45.3929,47.3707,-3.43,94,93,3.81,RU,1675565002
429,athabasca,54.7169,-113.2854,1.23,97,89,2.05,CA,1675565004
430,solnechnyy,50.7214,136.6319,-17.85,90,100,1.19,RU,1675565005
431,romans-sur-isere,45.0464,5.0562,8.25,85,86,7.52,FR,1675565006
432,manta,-0.95,-80.7333,25.88,78,40,2.06,EC,1675565008
433,namibe,-15.1961,12.1522,20.82,80,94,1.88,AO,1675565010
434,fairbanks,64.8378,-147.7164,-16.02,85,0,2.06,US,1675564737
435,jijiga,9.35,42.8,13.67,42,72,4.25,ET,1675565012
436,shirokiy,49.758,129.523,-16.38,88,43,2.97,RU,1675565013
437,taoudenni,22.6783,-3.9836,13.02,46,100,5.13,ML,1675565013
438,alausi,-2.2,-78.8333,9.04,89,83,2.08,EC,1675565014
439,weener,53.1667,7.35,3.34,90,100,3.42,DE,1675565014
440,nouadhibou,20.931,-17.0347,17.99,34,100,5.66,MR,1675564978
441,tsiroanomandidy,-18.7667,46.0333,19.35,96,100,0.33,MG,1675565015
442,mildura,-34.2,142.15,24.48,46,0,2.65,AU,1675565015
443,barentu,15.1139,37.5928,16.95,67,95,2.3,ER,1675565016
444,mangrol,21.1167,70.1167,20.59,33,34,3.35,IN,1675565016
445,pimentel,-6.8367,-79.9342,23.16,78,75,7.72,PE,1675565017
446,isangel,-19.55,169.2667,29.8,75,100,5.89,VU,1675565017
447,minot,48.2325,-101.2963,-1.88,74,100,3.09,US,1675564850
448,burnie,-41.0667,145.9167,22.79,43,0,5.16,AU,1675565018
449,sungaipenuh,-2.0833,101.3833,18.87,97,100,0.89,ID,1675565019
450,hammerfest,70.6634,23.6821,-1.75,80,100,5.66,NO,1675565019
451,bani,18.2833,-70.3333,25.48,75,34,5.58,DO,1675565020
452,sakakah,29.9697,40.2064,5.76,72,69,0.36,SA,1675565020
453,la malbaie,47.6575,-70.1559,-21.7,91,100,4.19,CA,1675564738
454,iqaluit,63.7506,-68.5145,-35.15,66,75,7.72,CA,1675565021
455,dhupgari,26.5858,89.0145,19.71,49,5,1.82,IN,1675565021
456,vazhiny,60.9644,34.0222,-19.32,100,65,1.05,RU,1675565022
457,lazaro cardenas,17.9583,-102.2,23.79,75,0,1.56,MX,1675565023
458,saint-pierre,-21.3393,55.4781,24.82,73,40,3.09,RE,1675564928
459,rio grande,-32.035,-52.0986,20.42,77,3,6.92,BR,1675565023
460,broome,42.2506,-75.833,-5.77,53,0,5.14,US,1675565024
461,kranea elassonos,39.9483,21.9658,0.42,71,39,6.5,GR,1675565024
462,kloulklubed,7.0419,134.2556,29.28,78,100,8.31,PW,1675565025
463,prata,-19.3072,-48.9242,21.6,91,100,1.52,BR,1675565025
464,brae,60.3964,-1.353,6.58,67,40,10.21,GB,1675565026
465,provideniya,64.3833,-173.3,-18.04,91,100,4.64,RU,1675565026
